name,dims
Tensor_fc.weight,"1000,512"
Tensor_fc.bias,1000
Tensor_Conv_193,"64,3,7,7"
Tensor_Conv_194,64
Tensor_Conv_196,"64,64,3,3"
Tensor_Conv_197,64
Tensor_Conv_199,"64,64,3,3"
Tensor_Conv_200,64
Tensor_Conv_202,"64,64,3,3"
Tensor_Conv_203,64
Tensor_Conv_205,"64,64,3,3"
Tensor_Conv_206,64
Tensor_Conv_208,"128,64,3,3"
Tensor_Conv_209,128
Tensor_Conv_211,"128,128,3,3"
Tensor_Conv_212,128
Tensor_Conv_214,"128,64,1,1"
Tensor_Conv_215,128
Tensor_Conv_217,"128,128,3,3"
Tensor_Conv_218,128
Tensor_Conv_220,"128,128,3,3"
Tensor_Conv_221,128
Tensor_Conv_223,"256,128,3,3"
Tensor_Conv_224,256
Tensor_Conv_226,"256,256,3,3"
Tensor_Conv_227,256
Tensor_Conv_229,"256,128,1,1"
Tensor_Conv_230,256
Tensor_Conv_232,"256,256,3,3"
Tensor_Conv_233,256
Tensor_Conv_235,"256,256,3,3"
Tensor_Conv_236,256
Tensor_Conv_238,"512,256,3,3"
Tensor_Conv_239,512
Tensor_Conv_241,"512,512,3,3"
Tensor_Conv_242,512
Tensor_Conv_244,"512,256,1,1"
Tensor_Conv_245,512
Tensor_Conv_247,"512,512,3,3"
Tensor_Conv_248,512
Tensor_Conv_250,"512,512,3,3"
Tensor_Conv_251,512
